"box","lat","lon","mnasc","area","count","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","arean","part","latmin","lonmin","ea","nfish","nfish.i","nfish.m","mass","mass.i","mass.m","reg","old.area","old.arean","area.part"
724,67.625,-18.25,78.8348623853211,592.523360364256,218,67.5,67.5,67.75,67.75,-18.5,-18,-18,-18.5,172.752170429334,1,15,30,13618.8935825621,138659999.66976,3882479.99075329,134777519.679007,3166.29554605899,44.9535718929363,3121.34197416605,5,592.523360364256,172.752170429334,1
725,67.625,-17.75,9.18762376237624,592.523360364256,202,67.5,67.5,67.75,67.75,-18,-17.5,-17.5,-18,172.752170429334,1,15,30,1587.18194603862,16159803.7887129,452474.506083961,15707329.2826289,369.008473123107,5.23900838830072,363.769464734806,5,592.523360364256,172.752170429334,1
726,67.625,-17.25,387.233333333333,592.523360364252,60,67.5,67.5,67.75,67.75,-17.5,-17,-17,-17.5,172.752170429333,0.94,15,30,62881.6748681637,640226238.908111,17926334.6894271,622299904.218684,14619.5405564172,207.56134665401,14411.9792097631,5,592.523360364252,172.752170429333,1
727,67.625,-16.75,0,592.523360364256,2,67.5,67.5,67.75,67.75,-17,-16.5,-16.5,-17,172.752170429334,1,15,30,0,0,0,0,0,0,0,5,592.523360364256,172.752170429334,1
728,67.625,-16.25,0,592.523360364256,10,67.5,67.5,67.75,67.75,-16.5,-16,-16,-16.5,172.752170429334,1,15,30,0,0,0,0,0,0,0,5,592.523360364256,172.752170429334,1
729,67.625,-15.75,0,592.523360364256,51,67.5,67.5,67.75,67.75,-16,-15.5,-15.5,-16,172.752170429334,1,15,30,0,0,0,0,0,0,0,5,592.523360364256,172.752170429334,1
730,67.625,-15.25,0,592.523360364256,42,67.5,67.5,67.75,67.75,-15.5,-15,-15,-15.5,172.752170429334,1,15,30,0,0,0,0,0,0,0,5,592.523360364256,172.752170429334,1
731,67.625,-14.75,0,592.523360364252,24,67.5,67.5,67.75,67.75,-15,-14.5,-14.5,-15,172.752170429333,1,15,30,0,0,0,0,0,0,0,5,592.523360364252,172.752170429333,1
732,67.625,-14.25,0,592.523360364256,51,67.5,67.5,67.75,67.75,-14.5,-14,-14,-14.5,172.752170429334,1,15,30,0,0,0,0,0,0,0,5,592.523360364256,172.752170429334,1
772,67.875,-18.75,56.362962962963,586.261606451218,27,67.75,67.75,68,68,-19,-18.5,-18.5,-19,170.926535101629,0.6,15,30,5780.35558039243,58852365.5030664,1647866.23408586,57204499.2689805,1343.8914121679,19.0799368960941,1324.81147527181,5,586.261606451218,170.926535101629,1
773,67.875,-18.25,720.077777777778,586.261606451222,198,67.75,67.75,68,68,-18.5,-18,-18,-18.5,170.92653510163,0.88,15,30,108310.751612129,1102759830.79852,30877275.2623586,1071882555.53616,25181.476625891,357.514737144881,24823.9618887461,5,586.261606451222,170.92653510163,1
774,67.875,-17.75,1.13496503496503,586.261606451222,143,67.75,67.75,68,68,-18,-17.5,-17.5,-18,170.92653510163,0.93,15,30,180.415946025909,1836894.81562611,51433.054837531,1785461.76078858,41.9454196390295,0.595521299225984,41.3498983398035,5,586.261606451222,170.92653510163,1
